Id,N1,N2,N3,N4,N5,N6,Date
622,17,26,35,40,43,44,7/8/2020
623,11,13,14,43,44,45,9/8/2020
624,7,21,34,38,43,44,12/8/2020
625,9,18,21,24,34,41,14/08/2020
626,2,5,6,20,33,39,16/08/2020
627,7,20,36,37,43,45,19/08/2020
628,7,8,26,30,37,43,21/08/2020
629,10,14,19,25,36,39,23/08/2020
630,2,18,24,28,35,42,26/08/2020
631,10,11,14,23,27,37,28/08/2020
632,6,8,18,19,29,33,30/08/2020
633,8,10,14,16,18,24,2/9/2020
634,7,16,20,30,40,41,4/9/2020
635,1,6,19,29,31,44,6/9/2020
636,19,21,34,35,36,39,9/9/2020
637,4,11,13,16,17,33,11/9/2020
638,20,23,28,37,40,44,13/09/2020
639,5,20,29,30,38,40,16/09/2020
640,10,19,21,23,27,33,18/09/2020
641,5,7,9,13,15,16,20/09/2020
642,2,8,17,23,30,41,23/09/2020
643,14,20,22,35,44,45,25/09/2020
644,1,12,26,31,37,38,27/09/2020
645,2,5,31,32,42,44,30/09/2020
646,9,11,21,31,32,37,2/10/2020
647,9,16,19,25,26,39,4/10/2020
648,13,15,25,26,28,34,7/10/2020
649,15,19,23,30,33,39,9/10/2020
650,12,18,28,31,40,45,11/10/2020
651,4,7,23,32,43,44,14/10/2020
652,4,14,16,23,24,27,16/10/2020
653,1,14,25,26,30,40,18/10/2020
654,4,11,26,36,38,41,21/10/2020
655,5,10,16,23,34,45,23/10/2020
656,11,19,30,38,41,45,25/10/2020
657,1,4,7,15,35,45,28/10/2020
658,4,5,14,18,23,43,30/10/2020
659,6,21,27,30,32,44,1/11/2020
